101,348,HUN,Hungary,ハンガリー共和国,HUF
102,352,ISL,Iceland	,イスランド共和国,ISK
103,356,IND,India,インド,INR
104,360,IDN,Indonesia,インドネシア共和国,IDR
105,364,IRN,Iran Islamic Republic of,イラン・イスラム共和国,IRR
106,368,IRQ,Iraq,イラク共和国,IQD
107,372,IRL,Ireland,アイルランド,EUR
108,833,IMN,Isle of Man,マン島,GBP
109,376,ISR,Israel,イスラエル国,ILS
110,380,ITA,Italy,イタリア共和国,EUR
111,388,JAM,Jamaica,ジャマイカ,JMD
112,392,JPN,Japan,日本国,JPY
113,832,JEY,Jersey,ジャージー島,GBP
114,400,JOR,Jordan,ヨルダン・ハシミテ王国,JOD
115,398,KAZ,Kazakhstan,カザフスタン共和国,KZT
116,404,KEN,Kenya,ケニア共和国,KES
117,296,KIR,Kiribati,キリバス共和国,AUD
118,408,PRK,Korea Democratic People's Republic of,朝鮮民主主義人民共和国,KPW
119,410,KOR,Korea Republic of,大韓民国,KRW
120,414,KWT,Kuwait,クウェート国,KWD
121,417,KGZ,Kyrgyzstan,キルギス共和国,KGS
122,418,LAO,Lao People's Democratic Republic,ラオス人民民主共和国,LAK
123,428,LVA,Latvia,ラトビア共和国,EUR
124,422,LBN,Lebanon,レバノン共和国,LBP
125,426,LSO,Lesotho,レソト王国,LSL
126,430,LBR,Liberia,リベリア共和国,LRD
127,434,LBY,Libya,リビア,LYD
128,438,LIE,Liechtenstein,リヒテンシュタイン公国,CHF
129,440,LTU,Lithuania,リトアニア共和国,LTL
130,442,LUX,Luxembourg,ルクセンブルク大公国,EUR
131,446,MAC,Macao,マカオ(澳門)特別行政区,MOP
132,807,MKD,Macedonia the former Yugoslav Republic of,マケドニア旧ユーゴスラビア共和国,MKD
133,450,MDG,Madagascar,マダガスカル共和国,MGA
134,454,MWI,Malawi,マラウイ共和国,MWK
135,458,MYS,Malaysia,マレーシア,MYR
136,462,MDV,Maldives,モルディブ共和国,MVR
137,466,MLI,Mali,マリ共和国,XOF
138,470,MLT,Malta,マルタ共和国,EUR
139,584,MHL,Marshall Islands,マーシャル諸島共和国,USD
140,474,MTQ,Martinique,マルチニーク島,EUR
141,478,MRT,Mauritania,モーリタニア・イスラム共和国,MRO
142,480,MUS,Mauritius,モーリシャス共和国,MUR
143,175,MYT,Mayotte,マイヨット島,EUR
144,484,MEX,Mexico,メキシコ合衆国,MXN
145,583,FSM,Micronesia Federated States of,ミクロネシア連邦,USD
146,498,MDA,Moldova Republic of,モルドバ共和国,MDL
147,492,MCO,Monaco,モナコ公国,EUR
148,496,MNG,Mongolia,モンゴル国,MNT
149,499,MNE,Montenegro,モンテネグロ,EUR
150,500,MSR,Montserrat,モントセラト,XCD
151,504,MAR,Morocco,モロッコ王国,MAD
152,508,MOZ,Mozambique,モザンビーク共和国,MZN
153,104,MMR,Myanmar,ミャンマー連邦,MMK
154,516,NAM,Namibia,ナミビア共和国,NAD
155,520,NRU,Nauru,ナウル共和国,AUD
156,524,NPL,Nepal,ネパール連邦民主共和国,NPR
157,528,NLD,Netherlands,オランダ王国,EUR
158,540,NCL,New Caledonia,ニューカレドニア,XPF
159,554,NZL,New Zealand,ニュージーランド,NZD
160,558,NIC,Nicaragua,ニカラグア共和国,NIO
161,562,NER,Niger,ニジェール共和国,XOF
162,566,NGA,Nigeria,ナイジェリア連邦共和国,NGN
163,570,NIU,Niue,ニウエ,NZD
164,574,NFK,Norfolk Island,ノーフォーク島,AUD
165,580,MNP,Northern Mariana Islands,北マリアナ諸島,USD
166,578,NOR,Norway,ノルウェー王国,NOK
167,512,OMN,Oman,オマーン国,OMR
168,586,PAK,Pakistan,パキスタン・イスラム共和国,PKR
169,585,PLW,Palau,パラオ共和国,USD
170,275,PSE,Palestinian Territory Occupied,西岸・ガザ(パレスチナ自治区),JOD
171,591,PAN,Panama,パナマ共和国,PAB
172,598,PNG,Papua New Guinea,パプアニューギニア独立国,PGK
173,600,PRY,Paraguay,パラグアイ共和国,PYG
174,604,PER,Peru,ペルー共和国,PEN
175,608,PHL,Philippines,フィリピン共和国,PHP
176,612,PCN,Pitcairn,ピトケアン諸島,NZD
177,616,POL,Poland,ポーランド共和国,PLN
178,620,PRT,Portugal,ポルトガル共和国,EUR
179,630,PRI,Puerto Rico,プエルトリコ,USD
